model_id,tier,skip_count,strategy,token_match_rate,coherence,savings_pct,mean_cosine_similarity,perplexity
Qwen/Qwen2.5-7B,moderate,7,random,0.4,degraded,8.25,0.6373,2.32
Qwen/Qwen2.5-7B,moderate,10,best_case(fallback_random),0.0,garbage,11.79,0.214,11.72
Qwen/Qwen2.5-7B,moderate,10,positional_first,0.0,garbage,11.79,0.0844,24.44
Qwen/Qwen2.5-7B,moderate,10,positional_last,0.0333,garbage,11.79,-0.0037,1152.94
Qwen/Qwen2.5-7B,moderate,10,positional_middle,0.4333,degraded,11.79,0.6559,2.22
Qwen/Qwen2.5-7B,moderate,10,random,0.3333,degraded,11.79,0.4422,2.93
Qwen/Qwen2.5-7B,moderate,14,best_case(fallback_random),0.0333,garbage,16.5,0.025,3.24
Qwen/Qwen2.5-7B,moderate,14,positional_first,0.0,garbage,16.5,0.0892,25.37
Qwen/Qwen2.5-7B,moderate,14,positional_last,0.0,garbage,16.5,-0.0196,3903.56
Qwen/Qwen2.5-7B,moderate,14,positional_middle,0.1,garbage,16.5,0.1214,18.49
Qwen/Qwen2.5-7B,moderate,14,random,0.0333,garbage,16.5,0.0524,64.65
Qwen/Qwen2.5-7B,moderate,28,best_case(fallback_random),0.0,garbage,33.0,0.0408,8.37
Qwen/Qwen2.5-7B,moderate,28,positional_first,0.0,garbage,33.0,0.0408,8.37
Qwen/Qwen2.5-7B,moderate,28,positional_last,0.0,garbage,33.0,0.0408,8.37
Qwen/Qwen2.5-7B,moderate,28,positional_middle,0.0,garbage,33.0,0.0408,8.37
Qwen/Qwen2.5-7B,moderate,28,random,0.0,garbage,33.0,0.0408,8.37
Qwen/Qwen2.5-7B,simple,1,best_case(fallback_random),0.4333,degraded,1.18,0.662,1.73
Qwen/Qwen2.5-7B,simple,1,positional_first,0.0667,garbage,1.18,0.338,2.47
Qwen/Qwen2.5-7B,simple,1,positional_last,0.1,garbage,1.18,0.2702,3.34
Qwen/Qwen2.5-7B,simple,1,positional_middle,0.3667,degraded,1.18,0.5653,1.6
Qwen/Qwen2.5-7B,simple,1,random,0.6667,degraded,1.18,0.7103,1.79
Qwen/Qwen2.5-7B,simple,2,best_case(fallback_random),0.4333,degraded,2.36,0.6457,1.73
Qwen/Qwen2.5-7B,simple,2,positional_first,0.0,garbage,2.36,0.1104,3125.2
Qwen/Qwen2.5-7B,simple,2,positional_last,0.0667,garbage,2.36,0.3938,15.26
Qwen/Qwen2.5-7B,simple,2,positional_middle,0.3333,degraded,2.36,0.6698,1.51
Qwen/Qwen2.5-7B,simple,2,random,0.4333,degraded,2.36,0.5028,2.44
Qwen/Qwen2.5-7B,simple,3,best_case(fallback_random),0.0333,garbage,3.54,0.3747,2.97
Qwen/Qwen2.5-7B,simple,3,positional_first,0.0,garbage,3.54,0.1807,13.88
Qwen/Qwen2.5-7B,simple,3,positional_last,0.0667,garbage,3.54,0.146,13.27
Qwen/Qwen2.5-7B,simple,3,positional_middle,0.3333,degraded,3.54,0.6589,1.51
Qwen/Qwen2.5-7B,simple,3,random,0.1667,garbage,3.54,0.4208,6.26
Qwen/Qwen2.5-7B,simple,5,best_case(fallback_random),0.0667,garbage,5.89,0.2294,13.64
Qwen/Qwen2.5-7B,simple,5,positional_first,0.0,garbage,5.89,0.1213,6.06
Qwen/Qwen2.5-7B,simple,5,positional_last,0.1667,garbage,5.89,0.1317,13.54
Qwen/Qwen2.5-7B,simple,5,positional_middle,0.3333,degraded,5.89,0.5987,2.14
Qwen/Qwen2.5-7B,simple,5,random,0.1,garbage,5.89,0.1178,14.79
Qwen/Qwen2.5-7B,simple,7,best_case(fallback_random),0.0,garbage,8.25,0.1764,11.08
Qwen/Qwen2.5-7B,simple,7,positional_first,0.0,garbage,8.25,0.1462,2.96
Qwen/Qwen2.5-7B,simple,7,positional_last,0.0667,garbage,8.25,0.1734,3.84
Qwen/Qwen2.5-7B,simple,7,positional_middle,0.2333,degraded,8.25,0.5784,3.02
Qwen/Qwen2.5-7B,simple,7,random,0.3,degraded,8.25,0.6411,4.38
Qwen/Qwen2.5-7B,simple,10,best_case(fallback_random),0.0333,garbage,11.79,0.3368,4.72
Qwen/Qwen2.5-7B,simple,10,positional_first,0.0333,garbage,11.79,0.0614,1360.9
Qwen/Qwen2.5-7B,simple,10,positional_last,0.0333,garbage,11.79,0.1203,79.11
Qwen/Qwen2.5-7B,simple,10,positional_middle,0.1333,garbage,11.79,0.3594,2.21
Qwen/Qwen2.5-7B,simple,10,random,0.2,degraded,11.79,0.5475,4.13
Qwen/Qwen2.5-7B,simple,14,best_case(fallback_random),0.0,garbage,16.5,0.1621,3.09
Qwen/Qwen2.5-7B,simple,14,positional_first,0.0,garbage,16.5,0.1122,4.7
Qwen/Qwen2.5-7B,simple,14,positional_last,0.0333,garbage,16.5,0.1353,1640.97
Qwen/Qwen2.5-7B,simple,14,positional_middle,0.0333,garbage,16.5,0.2553,4.69
Qwen/Qwen2.5-7B,simple,14,random,0.0667,garbage,16.5,0.3313,8.43
Qwen/Qwen2.5-7B,simple,28,best_case(fallback_random),0.0,garbage,33.0,0.0283,8.36
Qwen/Qwen2.5-7B,simple,28,positional_first,0.0,garbage,33.0,0.0283,8.36
Qwen/Qwen2.5-7B,simple,28,positional_last,0.0,garbage,33.0,0.0283,8.36
Qwen/Qwen2.5-7B,simple,28,positional_middle,0.0,garbage,33.0,0.0283,8.36
Qwen/Qwen2.5-7B,simple,28,random,0.0,garbage,33.0,0.0283,8.36
