model,threshold,avg_compress,avg_cosine,min_cosine,avg_rank,max_rank,pass_rate,total_positions,total_pass
Qwen/Qwen2.5-72B,0.1,28.96,0.8478939,-0.65817088,1.3677,14,84.77,197,167
Qwen/Qwen2.5-72B,0.05,20.45,0.95931104,0.31232619,1.2459,19,92.89,197,183
Qwen/Qwen2.5-72B,0.01,5.59,0.99786785,0.88230944,1.0209,3,98.48,197,194
Qwen/Qwen2.5-72B,0.005,2.57,0.99961728,0.96716762,1.005,2,99.49,197,196
Qwen/Qwen2.5-72B,0.001,1.02,0.99990343,0.98558331,1.0,1,100.0,197,197
Qwen/Qwen2.5-72B,0.0001,0.1,0.99990482,0.98525751,1.0,1,100.0,197,197
Qwen/Qwen2.5-72B,1e-05,0.0,0.99998754,0.99904233,1.0,1,100.0,197,197
